quote_id,quote,source,mood
surprised_15,"What is this life if, full of care, we have no time to stand and stare?",W. H. Davies,Surprised
surprised_16,"The miracle is not to fly in the air or to walk on the water, but to walk on the earth.",Chinese Proverb,Surprised
surprised_17,"To marvel is the beginning of knowledge, and not to marvel is the loss of it.",Socrates,Surprised
surprised_18,The mountains are calling and I must go.,John Muir,Surprised
surprised_19,"Wonder is the feeling of the philosopher, and philosophy begins in wonder.",Plato,Surprised
surprised_20,The earth laughs in flowers.,Ralph Waldo Emerson,Surprised
surprised_21,The clearest way into the universe is through a forest wilderness.,John Muir,Surprised
surprised_22,The soul that sees beauty may sometimes walk alone.,Johann Wolfgang von Goethe (d. 1832),Surprised
surprised_23,The poetry of the earth is never dead.,John Keats,Surprised
surprised_24,A thing of beauty is a joy forever.,John Keats,Surprised
surprised_25,There are more things in heaven and earth...than are dreamt of in your philosophy.,William Shakespeare,Surprised
surprised_26,"The true mystery of the world is the visible, not the invisible.",Oscar Wilde,Surprised
surprised_27,Every flower is a soul blossoming in nature.,Gérard de Nerval,Surprised
surprised_28,The world is full of magical things patiently waiting for our wits to grow sharper.,Bertrand Russell,Surprised
surprised_29,I would rather have a mind opened by wonder than one closed by belief.,Gerry Spence,Surprised
surprised_30,"He who can no longer pause to wonder and stand rapt in awe, is as good as dead.",Albert Einstein,Surprised
playful_01,"Be as playful as a child, for in play is true freedom.",Traditional Proverb,Playful
playful_02,All work and no play makes Jack a dull boy.,English Proverb,Playful
playful_03,"He who laughs, lasts.",Mary Pettibone Poole,Playful
playful_04,Men do not quit playing because they grow old; they grow old because they quit playing.,Oliver Wendell Holmes Sr.,Playful
playful_05,The most wasted of all days is one without laughter.,Nicolas Chamfort,Playful
playful_06,Gratitude is the fairest blossom which springs from the soul.,Henry Ward Beecher,Playful
playful_07,Whistle while you work.,Folk Proverb,Playful
playful_08,"Laugh, and the world laughs with you.",Ella Wheeler Wilcox,Playful
playful_09,A good laugh is sunshine in the house.,William Makepeace Thackeray,Playful
playful_10,He who laughs at himself never runs out of things to laugh at.,Traditional Proverb,Playful
playful_11,"Laughter is not at all a bad beginning for a friendship, and it is far the best ending for one.",Oscar Wilde,Playful
playful_12,The secret of genius is to carry the spirit of the child into old age.,Thomas Huxley,Playful
playful_13,In every work of genius we recognize our own rejected thoughts.,Ralph Waldo Emerson,Playful
playful_14,The most effective kind of education is that a child should play among lovely things.,Plato,Playful
playful_15,Man is most nearly himself when he achieves the seriousness of a child at play.,Heraclitus,Playful
playful_16,Children find everything in nothing; men find nothing in everything.,Giacomo Leopardi,Playful
playful_17,"Play, so you may be serious.",Plato,Playful
playful_18,"Be silly, be honest, be kind.",Ralph Waldo Emerson,Playful
playful_19,The happiness of life is made up of little things...,Samuel Taylor Coleridge,Playful
playful_20,A hearty laugh is good medicine.,English Proverb,Playful
playful_21,Laughter is the shortest distance between two people.,Victor Borge,Playful
playful_22,A smile is a curve that sets everything straight.,Phyllis Diller,Playful
playful_23,"A little nonsense now and then, is cherished by the wisest men.",Roald Dahl,Playful
playful_24,You can't be serious all the time.,Traditional Proverb,Playful
playful_25,"If you obey all the rules, you miss all the fun.",Katharine Hepburn,Playful
playful_26,The greatest pleasure in life is doing what people say you cannot do.,Walter Bagehot,Playful
playful_27,Life is too important to be taken seriously.,Oscar Wilde,Playful
playful_28,I am not young enough to know everything.,Oscar Wilde,Playful
playful_29,A day without laughter is a day wasted.,Charlie Chaplin,Playful
playful_30,"I have a simple taste, only the best.",Oscar Wilde,Playful
shy_01,Modesty is the crown of character.,Traditional Proverb,Shy
shy_02,Silence is a true friend who never betrays.,Confucius,Shy
shy_03,Still waters run deep.,Latin Proverb,Shy
shy_04,The silent man is the best to listen to.,Japanese Proverb,Shy
shy_05,A gentle hand may lead even an elephant by a hair.,Persian Proverb,Shy
shy_06,A quiet spirit brings peace to the home.,Traditional Proverb,Shy
shy_07,A gentle word opens an iron gate.,Korean Proverb,Shy
shy_08,Humility is the solid foundation of all virtues.,Confucius,Shy
shy_09,The tree that bends with the wind will outlast the storm.,Traditional Proverb,Shy
shy_10,A kind word is like a spring day.,Russian Proverb,Shy
shy_11,"The quieter you become, the more you are able to hear.",Rumi,Shy
shy_12,Patience is stronger than the sword.,Arab Proverb,Shy
shy_13,A whisper may be louder than a shout.,Traditional Proverb,Shy
shy_14,The rose is sweetest when it opens slowly.,Traditional Proverb,Shy
shy_15,To know when to be silent is wisdom.,Aeschylus,Shy
shy_16,He who knows others is wise; he who knows himself is enlightened.,Lao Tzu,Shy
shy_17,Silence is the sleep that nourishes wisdom.,Francis Bacon,Shy
shy_18,Soft words are strong arguments.,Thomas Fuller,Shy
shy_19,Kindness is the highest wisdom.,The Talmud,Shy
shy_20,Humility is the foundation of honor.,Confucius,Shy
shy_21,"Nothing is so strong as gentleness, and nothing is so gentle as real strength.",Saint Francis de Sales,Shy
shy_22,It is the weak who are cruel. Gentleness can only be expected from the strong.,Leo Rosten,Shy
shy_23,There is a quiet dignity in simplicity.,Traditional Proverb,Shy
shy_24,Gentleness is the antidote for cruelty.,Traditional Proverb,Shy
shy_25,"In a gentle way, you can shake the world.",Mahatma Gandhi,Shy
shy_26,A word of kindness is seldom spoken in vain.,Arthur Helps,Shy
shy_27,"The best portion of a good man's life is his little nameless, unremembered acts of kindness and of love.",William Wordsworth,Shy
shy_28,"A single act of kindness throws out roots in all directions, and the roots spring up and make new trees.",Amelia Earhart,Shy
shy_29,"No act of kindness, no matter how small, is ever wasted.",Aesop,Shy
shy_30,"Kind words can be short and easy to speak, but their echoes are truly endless.",Mother Teresa,Shy
frustrated_01,"Patience is bitter, but its fruit is sweet.",Jean-Jacques Rousseau,Frustrated
frustrated_02,He that can have patience can have what he will.,Benjamin Franklin,Frustrated
frustrated_03,All human wisdom is summed up in two words: wait and hope.,Alexandre Dumas,Frustrated
frustrated_04,"The stream passes on, but the rock remains.",Chinese Proverb,Frustrated
frustrated_05,The two most powerful warriors are patience and time.,Leo Tolstoy,Frustrated
frustrated_06,It does not matter how slowly you go as long as you do not stop.,Confucius,Frustrated
frustrated_07,A stumble may prevent a fall.,English Proverb,Frustrated
frustrated_08,"If every rub irritates you, how will you be polished?",Rumi,Frustrated
frustrated_09,Our patience will achieve more than our force.,Edmund Burke,Frustrated
frustrated_10,Step by step the ladder is climbed.,English Proverb,Frustrated
frustrated_11,Endurance is nobler than strength.,John Ruskin,Frustrated
frustrated_12,Fall seven times and stand up eight.,Japanese Proverb,Frustrated
frustrated_13,"Our greatest glory is not in never falling, but in rising every time we fall.",Confucius,Frustrated
frustrated_14,The reed that bends does not break.,Chinese Proverb,Frustrated
frustrated_15,Have patience. All things are difficult before they are easy.,Saadi,Frustrated
frustrated_16,Genius is eternal patience.,Michelangelo,Frustrated
frustrated_17,Patience is the key to paradise.,Turkish Proverb,Frustrated
frustrated_18,Endurance conquers all things.,Virgil,Frustrated
frustrated_19,Rome was not built in a day.,Latin Proverb,Frustrated
frustrated_20,Constant dripping wears away the stone.,Ovid,Frustrated
frustrated_21,"With time and patience, the mulberry leaf becomes a silk gown.",Chinese Proverb,Frustrated
frustrated_22,A handful of patience is worth more than a bushel of brains.,Dutch Proverb,Frustrated
frustrated_23,Slow and steady wins the race.,Aesop,Frustrated
frustrated_24,The greatest victory is to master yourself.,Plato,Frustrated
frustrated_25,The obstacle is the path.,Zen Proverb,Frustrated
frustrated_26,A journey of a thousand miles begins with a single step.,Lao Tzu,Frustrated
frustrated_27,The secret of patience is to do something else in the meantime.,Croft M. Pentz,Frustrated
frustrated_28,Patience is not simply the ability to wait - it's how we behave while we're waiting.,Joyce Meyer,Frustrated
frustrated_29,Adopt the pace of nature: her secret is patience.,Ralph Waldo Emerson,Frustrated
frustrated_30,Rivers know this: there is no hurry. We shall get there some day.,A.A. Milne,Frustrated
scared_01,"Do the thing you fear, and the death of fear is certain.",Ralph Waldo Emerson,Scared
scared_02,He who has overcome his fears will truly be free.,Aristotle,Scared
scared_03,In time we hate that which we often fear.,William Shakespeare,Scared
scared_04,Fear is a poor guide.,Latin Proverb,Scared
scared_05,Cowards die many times before their deaths; the valiant never taste of death but once.,William Shakespeare,Scared
scared_06,There is no illusion greater than fear.,Lao Tzu,Scared
scared_07,Nothing is terrible except fear itself.,Francis Bacon,Scared
scared_08,Suspicion is the companion of mean souls.,Thomas Paine,Scared
scared_09,Courage is mastery of fear-not its absence.,Mark Twain,Scared
scared_10,The thing most feared is often least harmful.,Ovid,Scared
scared_11,"To the anxious, every leaf rustles.",Sophocles,Scared
scared_12,Nothing is so much to be feared as fear itself.,Henry David Thoreau,Scared
scared_13,He who fears defeat is already half defeated.,Napoleon Bonaparte,Scared
scared_14,Fortune favors the brave.,Terence,Scared
scared_15,Hope and fear walk hand in hand.,Seneca,Scared
scared_16,An uneasy mind is its own punishment.,English Proverb,Scared
scared_17,He who expects suffering suffers it twice.,Michel de Montaigne,Scared
scared_18,The only thing we have to fear is fear itself.,Franklin D. Roosevelt,Scared
scared_19,"Fear is the main source of superstition, and one of the main sources of cruelty.",Bertrand Russell,Scared
scared_20,"Courage is resistance to fear, mastery of fear, not absence of fear.",Mark Twain,Scared
scared_21,I must not fear. Fear is the mind-killer.,Frank Herbert,Scared
scared_22,Fear makes strangers of people who would be friends.,Shirley Maclaine,Scared
scared_23,To fear is one thing. To let fear grab you by the tail and swing you around is another.,Katherine Paterson,Scared
scared_24,"The brave man is not he who does not feel afraid, but he who conquers that fear.",Nelson Mandela,Scared
scared_25,He who is not everyday conquering some fear has not learned the secret of life.,Ralph Waldo Emerson,Scared
scared_26,"Of all the liars in the world, sometimes the worst are our own fears.",Rudyard Kipling,Scared
scared_27,"You gain strength, courage, and confidence by every experience in which you really stop to look fear in the face.",Eleanor Roosevelt,Scared
scared_28,Fear is static that prevents me from hearing myself.,Samuel Butler,Scared
scared_29,Fear is a darkroom where negatives develop.,Usman Asif,Scared
scared_30,Don't be afraid of your fears. They're not there to scare you. They're there to let you know that something is worth it.,C. JoyBell C.,Scared
peaceful_01,Peace comes from within. Do not seek it without.,Siddhartha Gautama,Peaceful
peaceful_02,"When the mind is calm, the world is gentle.",Chinese Proverb,Peaceful
peaceful_03,A quiet heart is richer than a full purse.,Scottish Proverb,Peaceful
peaceful_04,Calmness is the cradle of power.,J.G. Holland,Peaceful
peaceful_05,No man is free who is not a master of himself.,Epictetus,Peaceful
peaceful_06,Harmony makes small things grow.,Sallust,Peaceful
peaceful_07,Contentment is natural wealth.,Socrates,Peaceful
peaceful_08,"The calmer you are, the clearer you see.",Traditional Proverb,Peaceful
peaceful_09,He who lives in harmony with himself lives in harmony with the world.,Marcus Aurelius,Peaceful
peaceful_10,A calm sea reflects the sky.,Traditional Proverb,Peaceful
peaceful_11,Peace is liberty in tranquility.,Cicero,Peaceful
peaceful_12,To live well is to live calmly.,Seneca,Peaceful
peaceful_13,He who does not desire power is most fit to hold it.,Plato,Peaceful
peaceful_14,"Serenity is not freedom from the storm, but peace within it.",Traditional Proverb,Peaceful
peaceful_15,To be satisfied with little is the greatest wealth.,Cicero,Peaceful
peaceful_16,Rest is the sweet sauce of labor.,Plutarch,Peaceful
peaceful_17,Harmony is the melody of life.,Traditional Proverb,Peaceful
peaceful_18,There never was a good war or a bad peace.,Benjamin Franklin,Peaceful
peaceful_19,The calm stream runs the longest.,English Proverb,Peaceful
peaceful_20,"If you want peace, you don't talk to your friends. You talk to your enemies.",Desmond Tutu,Peaceful
peaceful_21,"Peace is not absence of conflict, it is the ability to handle conflict by peaceful means.",Ronald Reagan,Peaceful
peaceful_22,"The life of inner peace, being harmonious and without stress, is the easiest type of existence.",Norman Vincent Peale,Peaceful
peaceful_23,Do not let the behavior of others destroy your inner peace.,Dalai Lama,Peaceful
peaceful_24,Peace is a journey of a thousand miles and it must be taken one step at a time.,Lyndon B. Johnson,Peaceful
peaceful_25,Peace is always beautiful.,Walt Whitman,Peaceful
peaceful_26,"You find peace not by rearranging the circumstances of your life, but by realizing who you are at the deepest level.",Eckhart Tolle,Peaceful
peaceful_27,Peace is the only battle worth waging.,Albert Camus,Peaceful
peaceful_28,Peace cannot be kept by force; it can only be achieved by understanding.,Albert Einstein,Peaceful
peaceful_29,"When you make peace with yourself, you make peace with the world.",Maha Ghosananda,Peaceful
peaceful_30,"Better than a thousand hollow words, is one word that brings peace.",Siddhartha Gautama,Peaceful
